L_Elbow,R_Elbow,L_Shoulder,R_Shoulder,L_Wrist,R_Wrist,L_Hip,R_Hip,L_Knee,R_Knee,L_Ankle,R_Ankle,Spine
175.0,167.0,114.0,37.0,161.0,151.0,54.0,122.0,89.0,129.0,119.0,137.0,173.0
174.0,166.0,116.0,35.0,177.0,152.0,64.0,137.0,105.0,151.0,122.0,140.0,175.0
170.0,165.0,118.0,36.0,170.0,153.0,79.0,138.0,122.0,148.0,122.0,135.0,177.0
169.0,164.0,120.0,35.0,167.0,155.0,79.0,147.0,126.0,159.0,123.0,154.0,177.0
171.0,166.0,120.0,31.0,165.0,155.0,82.0,142.0,137.0,158.0,128.0,160.0,177.0
171.0,167.0,120.0,31.0,167.0,156.0,84.0,138.0,138.0,148.0,125.0,161.0,177.0
172.0,166.0,119.0,31.0,171.0,154.0,83.0,134.0,138.0,142.0,126.0,160.0,179.0
173.0,164.0,119.0,32.0,170.0,154.0,88.0,133.0,148.0,142.0,130.0,162.0,179.0
177.0,166.0,117.0,28.0,167.0,155.0,87.0,124.0,149.0,134.0,131.0,148.0,158.0
173.0,156.0,25.0,103.0,140.0,172.0,99.0,105.0,147.0,129.0,133.0,144.0,134.0
175.0,157.0,15.0,85.0,150.0,144.0,101.0,88.0,144.0,106.0,134.0,135.0,127.0
170.0,167.0,24.0,56.0,123.0,163.0,89.0,79.0,129.0,95.0,130.0,131.0,139.0
176.0,145.0,34.0,44.0,136.0,132.0,73.0,49.0,118.0,68.0,131.0,139.0,153.0
170.0,140.0,12.0,57.0,140.0,119.0,65.0,48.0,106.0,65.0,135.0,139.0,173.0
112.0,178.0,41.0,16.0,165.0,167.0,47.0,66.0,92.0,68.0,141.0,143.0,168.0
151.0,168.0,11.0,26.0,171.0,171.0,44.0,70.0,88.0,75.0,172.0,157.0,162.0
114.0,166.0,47.0,28.0,155.0,175.0,27.0,67.0,66.0,71.0,174.0,170.0,160.0
122.0,171.0,47.0,26.0,156.0,177.0,25.0,49.0,52.0,54.0,135.0,165.0,161.0
167.0,168.0,60.0,28.0,163.0,178.0,33.0,56.0,51.0,62.0,125.0,162.0,163.0
151.0,165.0,68.0,34.0,168.0,174.0,140.0,157.0,164.0,165.0,146.0,166.0,174.0
167.0,164.0,56.0,37.0,143.0,168.0,178.0,140.0,145.0,107.0,177.0,163.0,150.0
